Choice,Party,,Absentee Votes,Absentee %,,Early Votes,Early %,,Election Day Votes,Election Day %,,Total Votes,Total %,Contest,Precinct,County
BRADFORD BARRETT,REP,,15,100.00%,,253,100.00%,,124,100.00%,,392,100.00%,STATE REPRESENTATIVE District 56 - Vote for One (1) Only No DEM Filed,BOST,Wayne
RONALD J. (RON) MOORE,REP,,14,100.00%,,244,100.00%,,126,100.00%,,384,100.00%,JUDGE of the SUPERIOR COURT No.1 - Vote for One (1) Only No DEM Filed,BOST,Wayne
TARA PEGG,REP,,14,100.00%,,251,100.00%,,118,100.00%,,383,100.00%,CLERK of the CIRCUIT COURT - Vote for One (1) Only No DEM Filed,BOST,Wayne
BETH FIELDS,REP,,16,100.00%,,248,100.00%,,122,100.00%,,386,100.00%,COUNTY TREASURER - Vote for One (1) Only No DEM Filed,BOST,Wayne
R. BRENT MEADOWS,REP,,15,100.00%,,244,100.00%,,119,100.00%,,378,100.00%,COUNTY CORONER - Vote for One (1) Only No DEM Filed,BOST,Wayne
GORDON E. MOORE,REP,,15,100.00%,,245,100.00%,,119,100.00%,,379,100.00%,COUNTY SURVEYOR - Vote for One (1) Only No DEM Filed,BOST,Wayne
AARON ROBERTS,REP,,15,100.00%,,244,100.00%,,114,100.00%,,373,100.00%,COUNTY COMMISSIONER District 2 - Vote for One (1) Only No DEM Filed,BOST,Wayne
JEFF PLASTERER,REP,,15,100.00%,,242,100.00%,,120,100.00%,,377,100.00%,COUNTY COMMISSIONER District 3 - Vote for One (1) Only No DEM Filed,BOST,Wayne
GERALD (GARY) SAUNDERS,REP,,9,39.13%,,147,38.28%,,73,43.71%,,229,39.90%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,BOST,Wayne
MAX SMITH,REP,,8,34.78%,,116,30.21%,,45,26.95%,,169,29.44%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,BOST,Wayne
CATHY C. WILLIAMS,REP,,6,26.09%,,121,31.51%,,49,29.34%,,176,30.66%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,BOST,Wayne
NICOLE STULTS,,,14,100.00%,,141,100.00%,,76,100.00%,,231,100.00%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER District 1 - Vote for One (1) Only,BOST,Wayne
AUSTIN BRANN,,,13,100.00%,,137,100.00%,,72,100.00%,,222,100.00%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER District 2 - Vote for One (1) Only,BOST,Wayne
CATHY HILLARD,,,12,60.00%,,117,44.83%,,54,46.96%,,183,46.21%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER At-Large - Vote for Not More Than Two (2),BOST,Wayne
AARON L. STEVENS,,,8,40.00%,,144,55.17%,,61,53.04%,,213,53.79%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER At-Large - Vote for Not More Than Two (2),BOST,Wayne
YES,,,15,88.24%,,156,81.68%,,85,82.52%,,256,82.32%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,BOST,Wayne
NO,,,2,11.76%,,35,18.32%,,18,17.48%,,55,17.68%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,BOST,Wayne
YES,,,15,83.33%,,149,82.32%,,73,77.66%,,237,80.89%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,BOST,Wayne
NO,,,3,16.67%,,32,17.68%,,21,22.34%,,56,19.11%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,BOST,Wayne
YES,,,14,77.78%,,145,81.92%,,71,77.17%,,230,80.14%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,BOST,Wayne
NO,,,4,22.22%,,32,18.08%,,21,22.83%,,57,19.86%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,BOST,Wayne
YES,,,14,77.78%,,146,82.49%,,73,77.66%,,233,80.62%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,BOST,Wayne
NO,,,4,22.22%,,31,17.51%,,21,22.34%,,56,19.38%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,BOST,Wayne
YES,,,16,88.89%,,141,81.50%,,73,77.66%,,230,80.70%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,BOST,Wayne
NO,,,2,11.11%,,32,18.50%,,21,22.34%,,55,19.30%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,BOST,Wayne
YES,,,15,62.50%,,189,48.84%,,108,52.68%,,312,50.65%,PUBLIC QUESTION #1,CTR1,Wayne
NO,,,9,37.50%,,198,51.16%,,97,47.32%,,304,49.35%,PUBLIC QUESTION #1,CTR1,Wayne
Republican Party,REP,,12,70.59%,,221,77.00%,,110,80.88%,,343,77.95%,STRAIGHT PARTY,CTR1,Wayne
Democratic Party,DEM,,5,29.41%,,63,21.95%,,22,16.18%,,90,20.45%,STRAIGHT PARTY,CTR1,Wayne
Libertarian Party,LIB,,0,0.00%,,1,0.35%,,1,0.74%,,2,0.45%,STRAIGHT PARTY,CTR1,Wayne
We the People Party,WTP,,0,0.00%,,2,0.70%,,3,2.21%,,5,1.14%,STRAIGHT PARTY,CTR1,Wayne
DONALD J. TRUMP JD VANCE,REP,,17,51.52%,,349,73.47%,,207,77.82%,,573,74.03%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR1,Wayne
KAMALA D. HARRIS TIM WALZ,DEM,,16,48.48%,,119,25.05%,,55,20.68%,,190,24.55%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR1,Wayne
CHASE OLIVER MIKE TER MAAT,LIB,,0,0.00%,,3,0.63%,,3,1.13%,,6,0.78%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR1,Wayne
ROBERT F. KENNEDY JR. NICOLE SHANAHAN,WTP,,0,0.00%,,4,0.84%,,1,0.38%,,5,0.65%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR1,Wayne
ANDRE' RAMON MCNEIL SR. (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR1,Wayne
CAROL ASHER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR1,Wayne
CHERUNDA LYNN FOX (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR1,Wayne
CLAUDIA DE LA CRUZ / KARINA GARCIA (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR1,Wayne
COMEL WEST / MELINA ABDULLAH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR1,Wayne
DOUG JENKINS (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR1,Wayne
NALA BAOZUN SCOTT JOHNSON JR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR1,Wayne
PAIJ BORING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR1,Wayne
PETER SONSKI (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR1,Wayne
SHONDRA IRVING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR1,Wayne
SUSAN MAUDE BUCHSER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR1,Wayne
TOM HOEFLING / ANDY PRIOR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR1,Wayne
WILLIAM CODY NALBACH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR1,Wayne
JIM BANKS,REP,,19,57.58%,,348,74.20%,,192,73.85%,,559,73.36%,UNITED STATES SENATOR - Vote for One (1) Only,CTR1,Wayne
VALERIE MCCRAY,DEM,,14,42.42%,,110,23.45%,,53,20.38%,,177,23.23%,UNITED STATES SENATOR - Vote for One (1) Only,CTR1,Wayne
ANDREW HORNING,LIB,,0,0.00%,,11,2.35%,,15,5.77%,,26,3.41%,UNITED STATES SENATOR - Vote for One (1) Only,CTR1,Wayne
ANTONIO XAVIER ALVAREZ (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,CTR1,Wayne
PHILLIP D. BEACHY (PHIL) (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,CTR1,Wayne
MIKE BRAUN MICAH BECKWITH,REP,,19,57.58%,,331,69.68%,,181,67.79%,,531,68.52%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,CTR1,Wayne
JENNIFER G. MCCORMICK TERRY GOODIN,DEM,,14,42.42%,,130,27.37%,,61,22.85%,,205,26.45%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,CTR1,Wayne
DONALD RAINWATER TONYA HUDSON,LIB,,0,0.00%,,14,2.95%,,25,9.36%,,39,5.03%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,CTR1,Wayne
CHRISTOPHER RYAN STRIED / NO CANDIDATE NAME (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,CTR1,Wayne
TODD ROKITA,REP,,19,57.58%,,348,73.42%,,197,76.06%,,564,73.63%,ATTORNEY GENERAL - Vote for One (1) Only,CTR1,Wayne
DESTINY WELLS,DEM,,14,42.42%,,126,26.58%,,62,23.94%,,202,26.37%,ATTORNEY GENERAL - Vote for One (1) Only,CTR1,Wayne
JEFFERSON SHREVE,REP,,19,57.58%,,341,73.18%,,197,76.36%,,557,73.58%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,CTR1,Wayne
CYNTHIA (CINDE) WIRTH,DEM,,14,42.42%,,106,22.75%,,46,17.83%,,166,21.93%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,CTR1,Wayne
JAMES MICHAEL SCENIAK,LIB,,0,0.00%,,19,4.08%,,15,5.81%,,34,4.49%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,CTR1,Wayne
BRADFORD BARRETT,REP,,25,100.00%,,388,100.00%,,222,100.00%,,635,100.00%,STATE REPRESENTATIVE District 56 - Vote for One (1) Only No DEM Filed,CTR1,Wayne
RONALD J. (RON) MOORE,REP,,23,100.00%,,387,100.00%,,224,100.00%,,634,100.00%,JUDGE of the SUPERIOR COURT No.1 - Vote for One (1) Only No DEM Filed,CTR1,Wayne
TARA PEGG,REP,,23,100.00%,,381,100.00%,,219,100.00%,,623,100.00%,CLERK of the CIRCUIT COURT - Vote for One (1) Only No DEM Filed,CTR1,Wayne
BETH FIELDS,REP,,23,100.00%,,380,100.00%,,219,100.00%,,622,100.00%,COUNTY TREASURER - Vote for One (1) Only No DEM Filed,CTR1,Wayne
R. BRENT MEADOWS,REP,,24,100.00%,,380,100.00%,,219,100.00%,,623,100.00%,COUNTY CORONER - Vote for One (1) Only No DEM Filed,CTR1,Wayne
GORDON E. MOORE,REP,,24,100.00%,,380,100.00%,,218,100.00%,,622,100.00%,COUNTY SURVEYOR - Vote for One (1) Only No DEM Filed,CTR1,Wayne
AARON ROBERTS,REP,,24,100.00%,,379,100.00%,,217,100.00%,,620,100.00%,COUNTY COMMISSIONER District 2 - Vote for One (1) Only No DEM Filed,CTR1,Wayne
JEFF PLASTERER,REP,,22,100.00%,,376,100.00%,,215,100.00%,,613,100.00%,COUNTY COMMISSIONER District 3 - Vote for One (1) Only No DEM Filed,CTR1,Wayne
GERALD (GARY) SAUNDERS,REP,,13,33.33%,,224,37.65%,,129,39.45%,,366,38.09%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,CTR1,Wayne
MAX SMITH,REP,,12,30.77%,,176,29.58%,,93,28.44%,,281,29.24%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,CTR1,Wayne
CATHY C. WILLIAMS,REP,,14,35.90%,,195,32.77%,,105,32.11%,,314,32.67%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,CTR1,Wayne
ANDY WANDERSEE,,,13,100.00%,,271,100.00%,,168,100.00%,,452,100.00%,CENTERVILLE-ABINGTON SCHOOL BOARD MEMBER District A - Vote for One (1) Only,CTR1,Wayne
RENEE WESTOVER,,,15,100.00%,,289,100.00%,,161,100.00%,,465,100.00%,CENTERVILLE-ABINGTON SCHOOL BOARD MEMBER District C - Vote for One (1) Only,CTR1,Wayne
M. TODD DUKE,,,12,100.00%,,266,100.00%,,159,100.00%,,437,100.00%,CENTERVILLE-ABINGTON SCHOOL BOARD MEMBER At-Large District D - Vote for Not More Than One (1),CTR1,Wayne
YES,,,19,95.00%,,252,79.25%,,152,83.98%,,423,81.50%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,CTR1,Wayne
NO,,,1,5.00%,,66,20.75%,,29,16.02%,,96,18.50%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,CTR1,Wayne
YES,,,16,80.00%,,245,79.03%,,139,82.74%,,400,80.32%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,CTR1,Wayne
NO,,,4,20.00%,,65,20.97%,,29,17.26%,,98,19.68%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,CTR1,Wayne
YES,,,17,85.00%,,241,79.02%,,139,81.76%,,397,80.20%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,CTR1,Wayne
NO,,,3,15.00%,,64,20.98%,,31,18.24%,,98,19.80%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,CTR1,Wayne
YES,,,17,85.00%,,245,80.33%,,144,84.21%,,406,81.85%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,CTR1,Wayne
NO,,,3,15.00%,,60,19.67%,,27,15.79%,,90,18.15%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,CTR1,Wayne
YES,,,18,85.71%,,245,82.21%,,141,83.43%,,404,82.79%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,CTR1,Wayne
NO,,,3,14.29%,,53,17.79%,,28,16.57%,,84,17.21%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,CTR1,Wayne
YES,,,8,50.00%,,131,50.00%,,94,50.54%,,233,50.22%,PUBLIC QUESTION #1,CTR2,Wayne
NO,,,8,50.00%,,131,50.00%,,92,49.46%,,231,49.78%,PUBLIC QUESTION #1,CTR2,Wayne
Republican Party,REP,,6,50.00%,,150,76.92%,,112,79.43%,,268,77.01%,STRAIGHT PARTY,CTR2,Wayne
Democratic Party,DEM,,6,50.00%,,40,20.51%,,24,17.02%,,70,20.11%,STRAIGHT PARTY,CTR2,Wayne
Libertarian Party,LIB,,0,0.00%,,3,1.54%,,2,1.42%,,5,1.44%,STRAIGHT PARTY,CTR2,Wayne
We the People Party,WTP,,0,0.00%,,2,1.03%,,3,2.13%,,5,1.44%,STRAIGHT PARTY,CTR2,Wayne
DONALD J. TRUMP JD VANCE,REP,,11,47.83%,,237,73.37%,,177,73.75%,,425,72.53%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR2,Wayne
KAMALA D. HARRIS TIM WALZ,DEM,,12,52.17%,,82,25.39%,,57,23.75%,,151,25.77%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR2,Wayne
CHASE OLIVER MIKE TER MAAT,LIB,,0,0.00%,,3,0.93%,,1,0.42%,,4,0.68%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR2,Wayne
ROBERT F. KENNEDY JR. NICOLE SHANAHAN,WTP,,0,0.00%,,1,0.31%,,3,1.25%,,4,0.68%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR2,Wayne
ANDRE' RAMON MCNEIL SR. (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR2,Wayne
CAROL ASHER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR2,Wayne
CHERUNDA LYNN FOX (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR2,Wayne
CLAUDIA DE LA CRUZ / KARINA GARCIA (W),,,0,0.00%,,0,0.00%,,1,0.42%,,1,0.17%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR2,Wayne
COMEL WEST / MELINA ABDULLAH (W),,,0,0.00%,,0,0.00%,,1,0.42%,,1,0.17%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR2,Wayne
DOUG JENKINS (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR2,Wayne
NALA BAOZUN SCOTT JOHNSON JR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR2,Wayne
PAIJ BORING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR2,Wayne
PETER SONSKI (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR2,Wayne
SHONDRA IRVING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR2,Wayne
SUSAN MAUDE BUCHSER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR2,Wayne
TOM HOEFLING / ANDY PRIOR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR2,Wayne
WILLIAM CODY NALBACH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR2,Wayne
JIM BANKS,REP,,12,52.17%,,230,72.56%,,163,69.66%,,405,70.56%,UNITED STATES SENATOR - Vote for One (1) Only,CTR2,Wayne
VALERIE MCCRAY,DEM,,10,43.48%,,75,23.66%,,58,24.79%,,143,24.91%,UNITED STATES SENATOR - Vote for One (1) Only,CTR2,Wayne
ANDREW HORNING,LIB,,1,4.35%,,12,3.79%,,13,5.56%,,26,4.53%,UNITED STATES SENATOR - Vote for One (1) Only,CTR2,Wayne
ANTONIO XAVIER ALVAREZ (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,CTR2,Wayne
PHILLIP D. BEACHY (PHIL) (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,CTR2,Wayne
MIKE BRAUN MICAH BECKWITH,REP,,13,56.52%,,216,68.35%,,148,62.98%,,377,65.68%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,CTR2,Wayne
JENNIFER G. MCCORMICK TERRY GOODIN,DEM,,9,39.13%,,83,26.27%,,68,28.94%,,160,27.87%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,CTR2,Wayne
DONALD RAINWATER TONYA HUDSON,LIB,,1,4.35%,,17,5.38%,,19,8.09%,,37,6.45%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,CTR2,Wayne
CHRISTOPHER RYAN STRIED / NO CANDIDATE NAME (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,CTR2,Wayne
TODD ROKITA,REP,,11,50.00%,,228,72.38%,,169,72.84%,,408,71.70%,ATTORNEY GENERAL - Vote for One (1) Only,CTR2,Wayne
DESTINY WELLS,DEM,,11,50.00%,,87,27.62%,,63,27.16%,,161,28.30%,ATTORNEY GENERAL - Vote for One (1) Only,CTR2,Wayne
JEFFERSON SHREVE,REP,,13,59.09%,,220,70.29%,,169,73.16%,,402,71.02%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,CTR2,Wayne
CYNTHIA (CINDE) WIRTH,DEM,,8,36.36%,,81,25.88%,,51,22.08%,,140,24.73%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,CTR2,Wayne
JAMES MICHAEL SCENIAK,LIB,,1,4.55%,,12,3.83%,,11,4.76%,,24,4.24%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,CTR2,Wayne
BRADFORD BARRETT,REP,,17,100.00%,,251,100.00%,,201,100.00%,,469,100.00%,STATE REPRESENTATIVE District 56 - Vote for One (1) Only No DEM Filed,CTR2,Wayne
RONALD J. (RON) MOORE,REP,,17,100.00%,,258,100.00%,,200,100.00%,,475,100.00%,JUDGE of the SUPERIOR COURT No.1 - Vote for One (1) Only No DEM Filed,CTR2,Wayne
TARA PEGG,REP,,17,100.00%,,253,100.00%,,195,100.00%,,465,100.00%,CLERK of the CIRCUIT COURT - Vote for One (1) Only No DEM Filed,CTR2,Wayne
BETH FIELDS,REP,,17,100.00%,,248,100.00%,,192,100.00%,,457,100.00%,COUNTY TREASURER - Vote for One (1) Only No DEM Filed,CTR2,Wayne
R. BRENT MEADOWS,REP,,17,100.00%,,250,100.00%,,193,100.00%,,460,100.00%,COUNTY CORONER - Vote for One (1) Only No DEM Filed,CTR2,Wayne
GORDON E. MOORE,REP,,17,100.00%,,247,100.00%,,190,100.00%,,454,100.00%,COUNTY SURVEYOR - Vote for One (1) Only No DEM Filed,CTR2,Wayne
AARON ROBERTS,REP,,17,100.00%,,244,100.00%,,192,100.00%,,453,100.00%,COUNTY COMMISSIONER District 2 - Vote for One (1) Only No DEM Filed,CTR2,Wayne
JEFF PLASTERER,REP,,17,100.00%,,245,100.00%,,193,100.00%,,455,100.00%,COUNTY COMMISSIONER District 3 - Vote for One (1) Only No DEM Filed,CTR2,Wayne
GERALD (GARY) SAUNDERS,REP,,5,31.25%,,154,40.00%,,112,41.03%,,271,40.21%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,CTR2,Wayne
MAX SMITH,REP,,4,25.00%,,114,29.61%,,73,26.74%,,191,28.34%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,CTR2,Wayne
CATHY C. WILLIAMS,REP,,7,43.75%,,117,30.39%,,88,32.23%,,212,31.45%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,CTR2,Wayne
ANDY WANDERSEE,,,12,100.00%,,188,100.00%,,160,100.00%,,360,100.00%,CENTERVILLE-ABINGTON SCHOOL BOARD MEMBER District A - Vote for One (1) Only,CTR2,Wayne
RENEE WESTOVER,,,12,100.00%,,184,100.00%,,143,100.00%,,339,100.00%,CENTERVILLE-ABINGTON SCHOOL BOARD MEMBER District C - Vote for One (1) Only,CTR2,Wayne
M. TODD DUKE,,,13,100.00%,,191,100.00%,,141,100.00%,,345,100.00%,CENTERVILLE-ABINGTON SCHOOL BOARD MEMBER At-Large District D - Vote for Not More Than One (1),CTR2,Wayne
YES,,,10,83.33%,,165,77.10%,,136,78.61%,,311,77.94%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,CTR2,Wayne
NO,,,2,16.67%,,49,22.90%,,37,21.39%,,88,22.06%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,CTR2,Wayne
YES,,,10,83.33%,,167,78.04%,,128,75.74%,,305,77.22%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,CTR2,Wayne
NO,,,2,16.67%,,47,21.96%,,41,24.26%,,90,22.78%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,CTR2,Wayne
YES,,,10,83.33%,,166,76.85%,,127,75.60%,,303,76.52%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,CTR2,Wayne
NO,,,2,16.67%,,50,23.15%,,41,24.40%,,93,23.48%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,CTR2,Wayne
YES,,,11,91.67%,,171,79.53%,,127,75.15%,,309,78.03%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,CTR2,Wayne
NO,,,1,8.33%,,44,20.47%,,42,24.85%,,87,21.97%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,CTR2,Wayne
YES,,,11,91.67%,,167,78.40%,,130,78.31%,,308,78.77%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,CTR2,Wayne
NO,,,1,8.33%,,46,21.60%,,36,21.69%,,83,21.23%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,CTR2,Wayne
YES,,,7,43.75%,,107,39.93%,,57,41.91%,,171,40.71%,PUBLIC QUESTION #1,CTR3,Wayne
NO,,,9,56.25%,,161,60.07%,,79,58.09%,,249,59.29%,PUBLIC QUESTION #1,CTR3,Wayne
Republican Party,REP,,1,50.00%,,147,73.87%,,69,79.31%,,217,75.35%,STRAIGHT PARTY,CTR3,Wayne
Democratic Party,DEM,,1,50.00%,,51,25.63%,,17,19.54%,,69,23.96%,STRAIGHT PARTY,CTR3,Wayne
Libertarian Party,LIB,,0,0.00%,,1,0.50%,,0,0.00%,,1,0.35%,STRAIGHT PARTY,CTR3,Wayne
We the People Party,WTP,,0,0.00%,,0,0.00%,,1,1.15%,,1,0.35%,STRAIGHT PARTY,CTR3,Wayne
DONALD J. TRUMP JD VANCE,REP,,5,27.78%,,219,68.87%,,119,72.56%,,343,68.60%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,CTR3,Wayne
